id,cs,derivation,text
1,1,metonymy,У него были маленькие злые глазки.
9,2,homonym1,Повышение по службе дало надежды на карьерный рост.
18,3,literal," В этом году английский у нас преподает нервная, крикливая учительница. "
25,4,homonym1,Наша задача ― посеять на лугах и пастбищах новые кормовые растения. 
32,5,literal,"В ходе расследования выяснилось, что водитель был трезвым."
39,6,literal,В нашей школе очень строгий директор.
45,7,metonymy,Нас встретил высокий мужчина с бородой и ясными умными глазами.
53,8,metonymy,Сколько бездушного эгоизма в его голосе!
59,9,literal,Они закрыли агрессивное животное в машине и увезли.
66,10,metaphor,Эти бизнесмены зарабатывают сумасшедшие деньги.
73,11,metaphor, Это пальто нужно стирать в режиме деликатной стирки.
80,12,literal,В стену был вбит железный гвоздь.
88,13,literal,Поздно вечером мать увела сытых и сонных детей домой.
95,14,metaphor,У нее очень боевой характер.
102,15,literal,"Посреди шумного общества, в кругу веселых товарищей, ему было хорошо."
109,17,metaphor,С огромным интересом слушал я живые рассказы брата о Петрограде
110,17,literal,Живого медведя нельзя держать в доме. 
116,18,literal,Прямо перед дверью на полу лежала мертвая крыса.
124,19,metonymy,Это может вызвать холодный ожог губ и полости рта.
130,20,metonymy,При сахарном диабете отвар 10 г на 150 мл воды - суточная доза.
134,21,literal,Вместо золота в посылке оказались свинцовые слитки. 
139,22,metaphor,Для классических интерьеров больше подходят вазы белого или молочного цвета.
144,23,metonymy,Солнечный ожог можно получить даже в пасмурную погоду.
151,24,metonymy_proximal,На его лице появилась беззаботная улыбка.
160,25,literal,В автобус зашел пьяный мужик с бутылкой водки в руке.
167,26,metonymy_proximal,Следующая запись вызвала у меня нервный смех.
175,27,literal,"Это был немолодой, грустный человек в темной рубахе."
183,28,metonymy_distal,Ученицы 6 «б» класса исполнили для гостей задорный танец.
190,29,literal,Ты сегодня какой-то унылый.
199,30,metonymy_distal,Я расскажу вам некоторые любопытные подробности из дела вашего брата.
205,31,literal,Наш сосед по лестничной клетке - очень беспокойный старичок.
213,32,metonymy_distal,"Вкус печенья напоминал лепешки, которые пекла мать в голодные годы."
219,33,literal,Веселая девочка запустила мыльный пузырь в небо.
228,34,literal,Добродушный пес по кличке Грей обожал хозяина.
235,35,proximal_metonymy_1,"Учитель говорил строго, глядя прямо в его лживые глаза."
243,36,literal,Этот наглый мошенник появился около пяти лет назад.
250,37,proximal_metonymy_1,Она обвела нас внимательным взглядом.
258,38,literal,"Наивные дети даже не поняли, в чем секрет фокуса."
266,39,proximal_proximal_metonymy_2,"Он шел своей легкой, как бы ленивой походкой."
274,40,literal,"Вы почему не спите? Весь дом перебудили, глупые дети!"
281,41,proximal_proximal_metonymy_2,"Похоже, уверенного ответа на этот вопрос сегодня дать никто не может."
288,42,literal,"Он спокойный, немного робкий малыш."
294,43,literal,Он был хорошим охотником и смелым воином.
300,44,homonym1,Наш класс победил в конкурсе строевой песни.
307,45,homonym1,На газовой плите стоит кастрюля с водой.
312,46,homonym1,Лезвие топора расщепило надвое половую доску.
320,47,monosemy,Я повернул налево и оказался на широкой улице.
325,48,monosemy,В коридоре висело круглое зеркало.
331,49,monosemy,"В поле паслась коза, привязанная длинной веревкой к колышку."
336,50,monosemy,На лето задали прочитать очень толстую книгу.
340,51,monosemy,Утром-то я поел хлеба с солью и запил его сладким чаем.
343,52,monosemy,"― Здесь ничего нет, ― раздался откуда-то сверху громкий голос."
348,53,monosemy,"Большая серая кошка спала на одеяле, покрывающем топчан."
353,54,monosemy,Я погладил черную мягкую шерсть собаки.
2,1,metaphor,Вокруг них росла  злая крапива.
10,2,homonym1,Ее трудолюбие помогло ей достичь карьерных высот.
19,3,metonymy,Его старческий крикливый голос был хорошо слышен
26,4,homonym1,На поливных землях возделывают овощи и кормовые культуры.
33,5,metonymy,У Васи вроде бы трезвый голос.
40,6,literal,Он строгий отец - всегда ругает своих детей за двойки.
46,7,literal,Иванов и Петров -  самые умные ученики в нашем классе.
54,8,metaphor,Нельзя относиться к людям как к бездушному материалу!
60,9,metonymy,Этот прием используют еще для резкой и агрессивной манеры езды.
67,10,metonymy,У него от атропина были просто сумасшедшие зрачки. 
74,11,metonymy,Это был человек с утонченными чувствами и деликатными манерами.
81,12,metaphor,Против такой критики у нас есть железный аргумент.
89,13,metonymy,Колдунья напоила принца сонным зельем. 
96,14,metaphor, Мы застали Ксению в приподнятом и  боевом настроении. 
103,15,metonymy,Под веселую музыку в парке танцевали люди.
111,17,literal,Как-то на уроке Генка подсунул Гоге в портфель живую ящерицу.
117,18,metonymy,"Врач опустился на колени перед человеком, лежавшим с мертвой неподвижностью, и проверил зрачки."
125,19,metaphor,Твое расчетливое холодное сердце никогда не поймет меня
131,20,literal,На осушенных участках появились плантации сахарного тростника.
135,21,metaphor,Передо мною расстилалась необозримая даль свинцового моря
140,22,literal,По утрам мы едим разные молочные каши с вареньем.
145,23,metonymy,Высыпания на коже - первый признак солнечной аллергии.
152,24,literal,"Мне он запомнился одним из самых беззаботных людей, каких я знала. "
161,25,metonymy_distal,Милиционеры часто приезжали разнимать пьяные драки.
168,26,literal,"Ты стала очень нервная, это нехорошо для твоего здоровья."
176,27,metonymy_proximal,Хозяин кафе ― лысый толстяк с грустным взглядом.
184,28,metonymy_proximal,Голубоглазая девчонка с  задорным носиком смотрела ему в лицо.
191,29,literal,По бульвару шагали целые шеренги маленьких унылых матросов.
200,30,metonymy_proximal,"Фроська любопытными глазами глядела то на Виктора, то на Груню."
206,31,metonymy_proximal,Откуда-то послышался беспокойный голос Нюры.
214,32,metonymy_proximal, Мальчики бросали на котелок голодные взгляды.
220,33,metonymy_distal,Эта веселая игра наверняка доставит Вам море удовольствия!
229,34,proximal_metonymy_1,Деревенская старушка была добродушного нрава и постоянно улыбалась.
236,35,literal,Что за лживый человек!
244,36,literal,Она очень наглая и невоспитанная девочка.
251,37,literal,Ответы на вопросы внимательный читатель сможет найти на форуме.
259,38,proximal_proximal_metonymy_2,Он всегда задает очень наивные вопросы.
267,39,literal,"Он напоминал профессора, задавшего вопрос ленивому студенту."
275,40,proximal_metonymy_1,"У людей, которые ищут клад, ужасно глупый вид."
282,41,proximal_metonymy_1,"У него был приятный, звучный баритон с внушительными уверенными интонациями."
289,42,proximal_metonymy_1,"”Извините”, -  раздался робкий голос."
295,43,proximal_metonymy_1,"Вошла круглолицая, с прямым, смелым взглядом женщина."
301,44,homonym1,Строевым шагом они дошли до железнодорожной станции.
308,45,homonym1,Газовая колонка внезапно перестала работать.
313,46,homonym1,Дощатый половой настил местами потрепался.
321,47,monosemy,В спальне стояла широкая кровать и большой комод.
326,48,monosemy,Это лекарство выпускают в виде круглых таблеток.
332,49,monosemy,Длинная тропинка вскоре вывела нас к озеру.
337,50,monosemy,Здесь готовят настоящую мексиканскую пиццу на толстом тесте.
341,51,monosemy,В кувшинчиках хранилось сладкое вино с острова Родос
344,52,monosemy,Громкие крики веселившегося народа раздавались на улице.
349,53,monosemy,Он был в дорогом сером костюме и туфлях.
354,54,monosemy,"Снятые детали промойте водой, протрите сухой мягкой тканью."
3,1,literal,У меня в офисе очень злой начальник.
11,2,homonym1,"Чтобы подняться выше по карьерной лестнице, нужно много трудиться."
20,3,metaphor,"Студенты дразнили вертлявых девиц в ярких, крикливых нарядах."
27,4,homonym1,В зоопарке смотрители разносили по вольерам кормовую свеклу.
34,5,metaphor,Мы еще не выработали в себе трезвого взгляда на мир
41,6,metonymy,Димка очень строгим тоном потребовал от Тани объяснений. 
47,7,metaphor,Тут умная система - она запоминает все настройки.
55,8,metonymy,Меня возмущает его бездушное отношение к людям.
61,9,literal,Подростки нередко бывают агрессивны.
68,10,literal,"Держись от него подальше, он явно сумасшедший!"
75,11,metaphor,Это специальная насадка с щетиной для деликатной уборки.
82,12,metaphor,Железная логика Васькиных вопросов сразила меня. 
90,13,literal,"На диване, свернувшись клубком лежал толстый сонный кот."
97,14,literal,Огневой вал обрушился на боевые позиции
104,15,literal,Да и вообще они очень веселые ребята.
112,17,metonymy,"Чувство, что ты приник к своей почве. Будто испил живой воды."
118,18,literal,Сегодня утром кот притащил в зубах мертвого воробья.
126,19,literal,"Не пей холодную воду, а то простудишься!"
132,20,metaphor,Сахарная улыбка придавала лицу невинное выражение.
136,21,literal,"В сосуде плавает пробка, к которой привязан свинцовый шарик "
141,22,metaphor,Это был мальчик с черными волосами и белой молочной кожей.
146,23,metaphor,У малыша были большие голубые глаза и солнечная улыбка.
153,24,metonymy_distal  ,"И тут я осознал, что беззаботное детство осталось в прошлом."
162,25,metonymy_proximal,Он смотрел на меня жалобными пьяными глазами.
169,26,metonymy_distal,"Сейчас в семье тяжелая, очень нервная обстановка."
177,27,metonymy_distal,"«Пчеловод» ― светлая, местами грустная сказка с хорошим концом."
185,28,literal,"Возможно, вне работы она была задорной хохотушкой."
192,29,literal,"Возле воза стоял унылый мужик, безнадежно взирающий на прохожих."
201,30,metonymy_proximal,Я поймал на себе Тимошин любопытный взгляд и опомнился.
207,31,literal,У меня жили два лисенка. Это были шустрые и беспокойные зверьки.
215,32,metonymy_distal,Однажды с Кузьмой случился голодный обморок.
221,33,metonymy_proximal,Веселая искренняя улыбка помогает в общении и привлекает людей.
230,34,proximal_proximal_metonymy_2,Он посмотрел на меня с добродушной иронией.
237,35,proximal_proximal_metonymy_2,По его лживым показаниям суд вынес решение.
245,36,proximal_metonymy_1,Не могу больше видеть их тупые наглые морды.
252,37,proximal_metonymy_1,"Это был маленький старичок с умными, внимательными глазами."
260,38,proximal_metonymy_1,"У Ромки были маленькие, наивные глазки и восхищенное лицо."
268,39,proximal_metonymy_1," ― Здрасьте, ― ленивым голосом произнес Петя."
276,40,proximal_metonymy_1,"Он с ненавистью слушал басистый, глупый хохот Ермолаева"
283,41,literal,"Теперь, когда рядом был сильный, уверенный мужчина, уже ничего не было страшно."
290,42,literal,"Вдова была нестарая, робкая женщина с большими глазами."
296,43,proximal_proximal_metonymy_2,"Это очень смелое утверждение, которое сразу же вызовет критику."
302,44,homonym1,После занятий по строевой подготовке мы были очень уставшими.
309,45,homonym2,Газовый платок съехал на затылок.
314,46,homonym1,"Мы выпускаем оборудование для производства дверей и окон, половых покрытий."
322,47,monosemy,Посреди комнаты стояла большая широкая кровать.
327,48,monosemy,Вокруг стола стояли четыре круглых табуретки.
333,49,monosemy,В конце длинного коридора стояли горшки с цветами.
338,50,monosemy,Учительница посмотрела на нас сквозь толстое стекло очков.
342,51,monosemy,"Чтобы автомат налил тебе стакан сладкой воды, брось в него монету."
345,52,monosemy,Его громкий храп монотонно раздавался из кухни.
350,53,monosemy,"По почте прислали большую коробку, завернутую в серую бумагу."
355,54,monosemy,На полу гостинной лежал мягкий ковер с приглушенным орнаментом.
4,1,metonymy,Злая усмешка перекосила его бледные губы.
12,2,homonym1,Все завидовали его карьерным успехам.
21,3,literal,Этажом ниже жила старая крикливая баба.
28,4,homonym1,На одном из пастбищ для скота были посеяны кормовые травы.
35,5,literal,"Сегодня дядя Петя трезвый, и это даже странно."
42,6,metaphor,На картине изображен особняк XVIII века со строгими колоннами
48,7,metaphor,"Оснастил двери умным замком, теперь никто не пролезет в дом."
56,8,metaphor,Бездушная машина уничтожила все на Земле.
62,9,metaphor, У этих гаджетов довольно агрессивный дизайн.
69,10,literal,Сумасшедший старик убил свою жену.
76,11,literal,Он очень культурный и деликатный юноша.
83,12,metonymy,Эскалатор с ужасным железным скрежетом ползет вверх. 
91,13,metaphor,"Летняя, сонная тишина висела в пустом кабинете. "
98,14,literal,За выполнение боевых заданий во время войны он был награжден орденами.
105,15,metaphor,Веселый ветер подхватил нас в Эгейском море. 
113,17,metaphor,Это произведение написано живым языком и читается легко.
119,18,metaphor,Он мертвой хваткой вцепился в ее руку. 
127,19,literal,"Он стоял в углу, прислонившись к холодной стене."
133,20,literal,"На блюде лежали булочки, посыпанные сахарной пудрой."
137,21,metonymy,В Риме много людей погибло от свинцового отравления.
142,22,literal,Компания «Юнимилк» - российский производитель молочных продуктов.
147,23,literal,Солнечный свет проникал сквозь большие окна.
154,24,literal,Он перевел взгляд на купающихся в пыли беззаботных воробьев
163,25,metonymy_proximal,Отец пьяным жестом отмахивался и ворчал.
170,26,metonymy_proximal,Нервным движением она подняла с ковра сумку и повесила ее на плечо.
178,27,literal,"Взъерошенная, грустная Мариша сидела на кухонном диванчике."
186,28,metonymy_distal,Вдруг заиграла задорная песня о молодости и удаче.
193,29,metonymy_proximal,У доктора был длинный бледный нос и унылая физиономия.
202,30,literal,Ты слишком любопытный! Хватит совать нос не в свои дела!
208,31,metonymy_distal,Первая неделя прошла в усиленной и беспокойной работе.
216,32,literal,За дверью гавкает голодная собака.
222,33,literal,Толпа веселых гостей ввалилась в квартиру.
231,34,proximal_metonymy_1,На квадратном его лице застыла добродушная усмешка.
238,35,proximal_metonymy_1,"Это я, ― детским, лживым голосом пропел телефон."
246,36,proximal_metonymy_1,С фотографии наглыми глазами смотрит Сережа.
253,37,proximal_proximal_metonymy_2,При внимательном изучении снимков можно узнать некоторые интересные факты.
261,38,proximal_metonymy_1,Ее простое и наивное личико с голубыми глазами было очень милым.
269,39,literal,Толстая ленивая продавщица нехотя встала со стула и подошла к кассе.
277,40,proximal_metonymy_1,Глупая физиономия Абрашкина расплывается в блаженную улыбку.
284,41,literal,"Когда-то он был очень уверенным человеком, но потом потерял всякое самоуправление."
291,42,proximal_proximal_metonymy_2,"Анатолий понял, что его робкое предположение подтвердилось."
297,43,proximal_metonymy_1,Мне запомнился этот мальчик с его открытым смелым лицом и честными глазами.
303,44,homonym2,А оттуда катились на юг вагоны и платформы со строевым лесом.
310,45,homonym2,На окнах были легкие газовые накидки.
315,46,homonym1,Сегодня половые плитки изготовляются с отделанной лицевой поверхностью.
323,47,monosemy,На Володе была черная рубашка с широкими рукавами.
328,48,monosemy,Учитель посмотрел на нас сквозь свои круглые очки.
334,49,monosemy,Мы долго стояли в длинной очереди на морозе.
339,50,monosemy,Это двухэтажная круглая постройка с толстыми стенами и площадкой.
346,52,monosemy,В ауле множество собак встретило нас громким лаем.
351,53,monosemy,Большие серые камни отбрасывают на поверхность озера тени.
356,54,monosemy,Из этих ниток получится очень пушистый и мягкий свитер.
5,1,metaphor,На ужин был шашлык из баранины с зеленью и злым перцем.
13,2,homonym1,Эта работа обещает открыть блестящие карьерные перспективы.
22,3,metonymy,Меня раздражает его крикливая манера пения.
29,4,homonym2,Аккуратная дверь с иллюминатором выходила на кормовую палубу. 
36,5,metonymy,"Походка у него трезвая, как будто он и не пил."
43,6,metaphor,Из-за ограды возвышалось строгое здание училища.
49,7,literal,Какой умный мальчик!
57,8,literal,Эти бездушные люди выгнали собаку на улицу.
63,9,metaphor,Все дело в агрессивной рекламе этих продуктов. 
70,10,metonymy,Из толпы вырвался какой-то мужчина с сумасшедшими глазами.
77,11,metonymy,Прошу вас помочь мне в очень деликатном вопросе.
84,12,metonymy,"Мрачные, железного цвета вагоны проходили один за другим."
92,13,metaphor,Таруса - сонный провинциальный городок населением всего 10 тыс. человек.
99,14,metonymy,Он спокойным голосом сообщил: есть первые боевые потери
106,15,metonymy, Он любил рассказывать веселые анекдоты за ужином.
114,17,literal, Вчера на рынке продавали живых раков.
120,18,metaphor,Нужно как-то сдвинуть этот вопрос с мертвой точки.
128,19,metaphor,― Не морочьте мне голову! ― последовал холодный ответ.
138,21,metaphor,В каналах Венеции отражалось свинцовое небо.
143,22,metonymy,Молочная аллергия встречается у 3% маленьких детей.
148,23,metaphor,"Тогда я был молод, мечтал о многом и стремился к солнечному будущему."
155,24,metonymy_proximal   ,"Он услышал ее смех ― глупый, счастливый, беззаботный смех девочки"
164,25,metonymy_proximal,"Я не мог больше слушать его пьяных криков, встал и ушел."
171,26,metonymy_distal,"Это опасная нервная работа, которую обычно выполняют не все."
179,27,metonymy_proximal,"“Чего желал — он всего добился...”, — закончил он с грустным вздохом."
187,28,literal,"Наш водитель совсем молодой, задорный паренек."
194,29,metonymy_distal,Сейчас в Москве дворы ― унылое зрелище.
203,30,metonymy_distal,В газете «London Daily News» опубликована любопытная статья.
209,31,literal,Как-то пару раз беспокойная мамаша поймала меня за руку на улице.
217,32,metonymy_proximal,Вокруг нас вились босоногие дети с голодными глазами.
223,33,metonymy_proximal,"Он бойким, веселым шагом пошел по тропинке."
232,34,proximal_proximal_metonymy_2,"Слышались возгласы, добродушные шутки, радостный смех."
239,35,proximal_proximal_metonymy_2,"Было столько лживых слухов, что даже реальным фактам никто уже не верил."
247,36,proximal_proximal_metonymy_2,Не верь его наглой клевете!
254,37,literal,Внимательные ученики сразу же нашли ошибку в задании.
262,38,literal,Как бы не прослыть наивным дурачком...
270,39,proximal_metonymy_1,"Записи, сделанные в журнале ленивой рукой протоколиста, говорят о многом."
278,40,literal,"Нестор просто обманул ее, причем легко, как глупую малолетку!"
285,41,proximal_proximal_metonymy_2,Откуда берутся такие уверенные суждения об одаренности детей?
292,42,proximal_metonymy_1,"Иван краснел, бросая робкие взгляды на пассажирку."
298,43,literal,Он был живой и смелый мальчик с богатой фантазией.
304,44,homonym2,На складе лежали строевые бревна всех размеров
311,45,homonym2,На вешалке висело серебристое газовое платье.
316,46,homonym2,При оплодотворении в половом размножении гаметы сливаются в одну клетку.
324,47,monosemy,Она вынула из картонки шляпу с широкими лентами
329,48,monosemy,В огромном пустом небе висела круглая луна.
335,49,monosemy,Он сидел в углу больничного коридора на длинной скамейке.
347,52,monosemy,"Наша кошка темноты, громких звуков и теней."
352,53,monosemy,"В чемодане хранятся иголки, наперстки и клубок серой шерсти."
6,1,literal,Он был очень злым человеком.
14,2,homonym2,Строительная компания приобрела новый карьерный экскаватор.
23,3,metaphor,В газете напечатана статья под крикливым заголовком.
30,4,homonym2,"Федя сидел за кормовым веслом, как и подобало капитану."
37,5,metaphor,"Эта книга мне нравится, в ней много трезвых рассуждений"
44,6,metonymy,На строгий вопрос матери “Где деньги?” он не ответил.
50,7,literal,"Ведь вы же умный человек, вы же должны понимать…"
58,8,literal,Ненавижу этих бездушных чиновников!
64,9,metonymy,Агрессивное поведение часто является результатом беспокойства. 
71,10,metaphor,Сегодня в городе ожидается сумасшедшее количество туристов.
78,11,literal,Он оказался чутким и деликатным человеком.
85,12,literal,"Мы вошли в лифт, он захлопнул железную дверь и нажал кнопку."
93,13,metonymy,Как-то раз я наглотался сонных таблеток.
100,14,metonymy,Он поднял штанину и показал следы боевых ран.
107,15,metaphor,"Поблескивая на солнце водяными бликами, журчали веселые ручейки."
115,17,metaphor,Oн обладает  живым умом и богатой эрудицией
121,18,literal,"Береговая линия загрязнена на 40 км, поэтому тут много мертвых рыб."
129,19,literal,Я лежу на холодном полу в центре комнаты.
149,23,literal,В августе этого года должно быть солнечное затмение.
156,24,metonymy_distal   ,Так что теперь можно лишь вспомнить о тех беззаботных временах.
165,25,metonymy_distal,Как же я ненавижу все эти пьяные откровения!
172,26,literal,Анорексия и плохой сон у нервных детей -  нередкие явления.
180,27,metonymy_distal,"Не буду описывать, как попал сюда, это довольно-таки грустная история."
188,28,metonymy_proximal,"Она была краснощекая, с серыми задорными глазами и рыжими волосами."
195,29,metonymy_distal,Яркие пятна оживляют унылый городской пейзаж.
204,30,literal,Это издание в первую очередь адресовано любопытным школьникам.
210,31,metonymy_distal,"Для меня настало тревожное, беспокойное время."
218,32,literal,Оборванные и голодные дети клянчили у прохожих мелочь.
224,33,metonymy_proximal,"В окошке появилась веселая рожица Миши, который махал нам рукой."
233,34,proximal_metonymy_1,"Он заговорил совершенно другим, простым и добродушным тоном."
240,35,literal,Терпеть не могу лживых мальчишек.
248,36,proximal_proximal_metonymy_2,Следователь задавал ему очень наглые вопросы.
255,37,proximal_proximal_metonymy_2,Некоторые формулировки при внимательном анализе оказываются неполными.
263,38,proximal_proximal_metonymy_2,Он с наивным удивлением поднял брови.
271,39,literal,Это задание вызовет интерес даже у самого ленивого ученика.
279,40,proximal_proximal_metonymy_2,Отвечать на глупые вопросы было некогда.
286,41,proximal_metonymy_1,Он шагнул навстречу и уверенным жестом протянул руку в приветствии.
293,42,proximal_proximal_metonymy_2,Через некоторое время раздался робкий стук в дверь.
299,43,proximal_proximal_metonymy_2,Громов все же сделал несколько смелых заявлений.
305,44,homonym2,Вокруг росли корабельные строевые сосны.
317,46,homonym2,СПИД при половом контакте передается с вероятностью 25 процентов.
330,48,monosemy,"Астроном Вебер сообщил, что нашел на Солнце круглое пятно."
7,1,metonymy,Его злое лицо вдруг покраснело.
15,2,homonym2,Этот «Додж-Рэм» тащит на буксире карьерный самосвал.
24,3,literal,Крикливая торговка на базаре предлагала купить яблоки и зелень.
31,4,homonym2,"В кормовой части лязгнуло, по кораблю прошла мелкая дрожь."
38,5,metaphor,"В первую очередь, нужно дать трезвую оценку этой ситуации."
51,7,metonymy,"Пес сел и, подняв вверх умную морду, тоскливо завыл."
65,9,metaphor, Он надел короткое пальто агрессивного ярко-зеленого цвета
72,10,metaphor,В сумасшедшем ритме нашей жизни всякое случается. 
79,11,literal,"Она была очень деликатна, старалась никого не обременять собой"
86,12,literal,Капли дождя стучали по железной крыше.
94,13,literal,Но все же я встал и перенес сонную дочь с дивана к себе в постель.
101,14,literal,Мы прекратили работу через две недели после начала боевых операций.
108,15,metaphor,Солнышко веселыми лучами освещало дорогу.
122,18,metaphor,Концы веревки были завязаны мертвым узлом - никак не развязать.
150,23,literal,Этот аккумулятор работает на солнечной энергии
157,24,metonymy_distal,Эти четыре солнечных беззаботных дня я отчетливо помню до сих пор.
166,25,literal, В ДТП со смертельным исходом часто виноваты пьяные водители.
173,26,metonymy_proximal,Нервные пальцы молодого человека быстро перелистывали журнал.
181,27,metonymy_proximal,Старик обернулся и с грустной улыбкой помахал им рукой.
189,28,metonymy_distal,Послышался смех Ларочки и задорные восклицания.
196,29,metonymy_proximal, Он бренчал на балалайке и выводил унылым басом «Очи черные».
211,31,metonymy_proximal,По ночам через стену слышу беспокойный шепот.
225,33,literal,Веселые музыканты заиграли польку.
234,34,literal,"Председатель был толстый и добродушный дядька, эстонец."
241,35,literal,Необходимо избавляться от ненужных связей и лживых друзей.
249,36,proximal_proximal_metonymy_2,Я был возмущен его наглым поступком.
256,37,proximal_proximal_metonymy_2,Эта статья требует внимательного чтения и долгого размышления.
264,38,proximal_metonymy_1, Она слушала меня с наивной улыбкой и кивала головой.
272,39,proximal_proximal_metonymy_2,С ленивым зевком он выронил из рук печатный листок.
280,40,proximal_proximal_metonymy_2,Что за глупая идея! ― вскричал Иван Ильич
287,41,proximal_metonymy_1,Она  вышла на сцену уверенным шагом и поклонилась.
306,44,homonym2,"Это самое близкое к морю место, где произрастает строевой кедр."
318,46,homonym2,"В собранном мною анамнезе я отметил, что пациент начал половую жизнь поздно."
8,1,metaphor,"В Арктике всегда дуют очень сильные ветры, метут злые вьюги и метели."
16,2,homonym2,Наша компания является лидером в производстве карьерного транспорта.
52,7,metonymy,"Сейчас, сейчас, надену очки и сделаю умное лицо."
87,12,metaphor,В армии царила железная дисциплина
123,18,metonymy,"Мертвая бледность, остановка пульса и окоченевшие конечности - первые признаки смерти. "
158,24,literal,"Он уснул на траве, как беззаботный ребенок на руках няньки"
174,26,metonymy_distal,"Бомбы падали, и нервная атмосфера в подвале быстро накалялась."
182,27,metonymy_distal,Пианист играл очень грустную мелодию.
197,29,metonymy_distal,"Вот оно, когда-то легендарное Батищево. Сейчас здесь унылая картина."
212,31,metonymy_distal,Мою голову все чаще посещают беспокойные мысли.
226,33,metonymy_distal,Для Гули это была одна из самых веселых поездок.
242,35,proximal_metonymy_1,Я взглянул на ее лживое лицо и ужаснулся.
257,37,proximal_proximal_metonymy_2,Благодарим за внимательное отношение к нашей работе.
265,38,proximal_proximal_metonymy_2, Как далеки были эти наивные мечты от страшной действительности!
273,39,proximal_proximal_metonymy_2,Ленивым движением он вытащил из кармана пачку сигарет.
319,46,homonym2,Они посчитали это дискриминацией по половому признаку и подали жалобу.
17,2,homonym2,Современные карьерные машины оснащаются специальными системами.
159,24,metonymy_proximal,Он с беззаботным видом ходил по комнате из угла в угол.
198,29,metonymy_proximal,"Особенно тягостно действовал на нервы протяжный, унылый вой собак."
227,33,metonymy_distal,Режиссер А. Стефанович поставит веселый фильм для детей.
